grade,subject,q_no,lo,gl,desc,correct_pct,top_wrong_pct,blank_pct
Grade 5,Odia,1,OD 507,At-grade,Explain the meanings of unfamiliar words from word lists,89.7,3.5,3.3
Grade 5,Odia,2,OD 507,At-grade,Explain the meanings of unfamiliar words from word lists,86.5,4.3,4.9
Grade 5,Odia,3,OD 408,Grade-minus-1,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,81.1,5.8,4.8
Grade 5,Odia,4,OD 407,Grade-minus-1,"Read other materials alongside your textbook (such as children literature, main news articles, magazines, posters, etc.) and gain an understanding of them.",84.9,5.0,5.0
Grade 5,Odia,5,OD 413,Grade-minus-1,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,77.4,6.6,4.6
Grade 5,Odia,6,OD 507,At-grade,Explain the meanings of unfamiliar words from word lists,69.0,17.9,4.2
Grade 5,Odia,7,OD 413,Grade-minus-1,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,69.7,15.5,5.3
Grade 5,Odia,8,OD 512,At-grade,"Utilize vocabulary relevant to different subjects (such as mathematics, science, social studies, dance, medicine, etc.) to enhance communication and incorporate these terms into writing.",57.5,21.9,4.8
Grade 5,Odia,9,OD 408,Grade-minus-1,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,81.1,5.8,5.4
Grade 5,Odia,10,OD 405,Grade-minus-1,"Understand various types of materials (e.g., main articles in newspapers, children magazines, etc.), analyze important social and other relevant topics, and discuss them.",75.0,10.6,5.3
Grade 5,Odia,11,OD 407,Grade-minus-1,"Read other materials alongside your textbook (such as children literature, main news articles, magazines, posters, etc.) and gain an understanding of them.",82.0,5.2,4.4
Grade 5,Odia,12,OD 413,Grade-minus-1,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,59.9,13.6,6.2
Grade 5,Odia,13,OD 512,At-grade,"Utilize vocabulary relevant to different subjects (such as mathematics, science, social studies, dance, medicine, etc.) to enhance communication and incorporate these terms into writing.",51.9,18.7,5.8
Grade 5,Odia,14,OD 408,Grade-minus-1,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,42.2,19.9,5.5
Grade 5,Odia,15,OD 405,Grade-minus-1,"Understand various types of materials (e.g., main articles in newspapers, children magazines, etc.), analyze important social and other relevant topics, and discuss them.",54.0,25.9,5.3
Grade 5,EVS,1,E 501,At-grade,"Discuss the remarkable and extraordinary sensory abilities of animals (such as vision, smell, taste, touch, sound, etc.) and describe the reactions of different organisms to stimuli such as sound, light, taste, etc.",44.4,22.9,4.1
Grade 5,EVS,2,E 501,At-grade,"Discuss the remarkable and extraordinary sensory abilities of animals (such as vision, smell, taste, touch, sound, etc.) and describe the reactions of different organisms to stimuli such as sound, light, taste, etc.",51.6,20.7,4.8
Grade 5,EVS,3,E 402,Grade-minus-1,"Identify various characteristics of animals and birds (such as teeth, claws, wings, ears, etc.).",86.3,3.3,5.2
Grade 5,EVS,4,E 402,Grade-minus-1,"Identify various characteristics of animals and birds (such as teeth, claws, wings, ears, etc.).",35.5,24.4,5.7
