block,grade,subject,lo_code,lo_description,pct_correct
Anugola,Grade 5,EVS,E 402,"Identify various characteristics of animals and birds (such as teeth, claws, wings, ears, etc.).",61
Anugola,Grade 5,EVS,E 405,"Describe the various skills involved in daily life (such as farming, hunting, weaving, and handicrafts) along with the importance of training (the role of programs) in enhancing these skills.",76
Anugola,Grade 5,EVS,E 407,"Identify and differentiate between various items related to past and present (such as transportation, goods, homes, materials, tools, skills, agriculture, etc.) and provide insights regarding their origins.",72
Anugola,Grade 5,EVS,E 408,"Identify specific characteristics, such as shape (head, limbs, teeth, skin surface), habitat (whether domesticated or wild), fruits, vegetables, and spices, along with their life cycles, uses (such as for food, medicine, decoration, etc.), and sensory attributes (such as smell, taste, preferences).",81
Anugola,Grade 5,EVS,E 415,"Propose various methods related to health, reducing waste, recycling, and sustaining living resources (plants, animals, elderly individuals, people with disabilities) along with community resources (food, water, and public relations).",48
Anugola,Grade 5,EVS,E 501,"Discuss the remarkable and extraordinary sensory abilities of animals (such as vision, smell, taste, touch, sound, etc.) and describe the reactions of different organisms to stimuli such as sound, light, taste, etc.",45
Anugola,Grade 5,EVS,E 502,"Present various methods of human livelihood and the necessary resources of food and water; the processes include the production of materials from agriculture, preparation of various dishes, preservation of different foods, exploration, and protection of water sources.",68
Anugola,Grade 5,EVS,E 503,"Discuss the interdependence among animals, plants, and humans (for example – livestock management, fodder cultivation, etc.).",67
Anugola,Grade 5,EVS,E 504,"Describe the roles and significance of various institutions related to human livelihood (such as banks, panchayats, cooperatives, police stations, etc.).",63
Anugola,Grade 5,EVS,E 512,"Discuss complex issues faced by society, such as discrimination, expulsion, and children's rights; provide insights into traditions and events related to these matters.",58
Anugola,Grade 5,English,EN 407,Infers the meaning of unfamiliar words by reading them in contexts.,63
Anugola,Grade 5,English,EN 508,"Reads texts with comprehension, locates details and sequence of events.",63
Anugola,Grade 5,Maths,M 401,Demonstrate mathematical operations used in daily life.,80
Anugola,Grade 5,Maths,M 403,"Create and solve simple, real-life problems related to money, length, weight, and capacity, using the four basic mathematical operations.",73
Anugola,Grade 5,Maths,M 405,"Use symbols to denote fractional parts like one-half, one-fourth, and three-fourths.",73
Anugola,Grade 5,Maths,M 407,"Understand and identify characteristics of four-sided shapes, including center, radius, and perimeter.",76
Anugola,Grade 5,Maths,M 415,"Solve real-life problems involving distance, weight, volume, and time based on basic mathematical operations.",59
Anugola,Grade 5,Maths,M 417,Relate 24-hour time format to the 12-hour time format.,61
Anugola,Grade 5,Maths,M 419,Recognize the structure of multiplication and division up to the 9-times table.,79
Anugola,Grade 5,Maths,M 420,"Understand, identify, and extend geometric patterns based on symmetry.",79
Anugola,Grade 5,Maths,M 421,Present collected data in tables or bar graph and analyze patterns.,59
Anugola,Grade 5,Maths,M 504,"Estimate the sum, difference, product, and quotient of significant data (estimation) and apply standard mathematical procedures while adopting various approaches to problem-solving.",50
Anugola,Grade 5,Maths,M 508,Convert decimals into fractions and vice versa.,70
Anugola,Grade 5,Maths,M 509,"Understand the concepts of angles and shapes. Clasify angles into right angle, acute angle, and obtuse angle and illustrate measurements through drawings on paper",66
Anugola,Grade 5,Maths,M 512,"Establish relationships between measurement, weight, and volume using larger units. Present the measurements of larger units in relation to smaller units (inverse relationships must be considered).",52
Anugola,Grade 5,Odia,OD 405,"Understand various types of materials (e.g., main articles in newspapers, children magazines, etc.), analyze important social and other relevant topics, and discuss them.",64
Anugola,Grade 5,Odia,OD 407,"Read other materials alongside your textbook (such as children literature, main news articles, magazines, posters, etc.) and gain an understanding of them.",84
Anugola,Grade 5,Odia,OD 408,Recognize and understand new vocabulary that comes from different types of content and utilize it appropriately.,67
Anugola,Grade 5,Odia,OD 413,Use vocabulary contextually by understanding word meanings based on specific topics and applying words meaningfully.,68
Anugola,Grade 5,Odia,OD 507,Explain the meanings of unfamiliar words from word lists,81
Anugola,Grade 5,Odia,OD 512,"Utilize vocabulary relevant to different subjects (such as mathematics, science, social studies, dance, medicine, etc.) to enhance communication and incorporate these terms into writing.",53
Anugola,Grade 8,English,EN 709,"Identifies characters, main ideas and sequence of ideas and events in textual / non textual material ",56
Anugola,Grade 8,English,EN 710,"Compare between characters, events, ideas, themes and correlates them to their own life.",38
Anugola,Grade 8,English,EN 711,"Reads to seek information in print /online, notice board, sign boards in public places, newspapers, hoardings etc.",63
Anugola,Grade 8,English,EN 713,Infers the meaning of unfamiliar words by reading them in context and enriches vocabulary.,52
Anugola,Grade 8,English,EN 716,"Uses appropriate grammatical forms in communication (noun/ pronoun / verb/ determiner,time and tense/ passivisation/ adjective, adverb, tense.)",58
Anugola,Grade 8,Maths,M 705,Solve life problems based on the ratio of the parts.,79
Anugola,Grade 8,Maths,M 708,Formulate simple equations for life events in two-part ratios and solve them.,75
Anugola,Grade 8,Maths,M 710,Solve problems related to converting mixed ratios into simple ratios.,62
Anugola,Grade 8,Maths,M 711,Determine the profit and loss in simple interest calculations using the process of finding the ratio of benefits.,57
Anugola,Grade 8,Maths,M 712,"Analyze various types of shops based on specific parameters such as proximity, proportionate shop size, and supply metrics.",67
Anugola,Grade 8,Maths,M 714,Calculate the volume of a product from the two ends of a triangular region and fix the volume of the third side.,54
Anugola,Grade 8,Maths,M 715,Understand the characteristics of triangles based on given conditions using ratios.,56
Anugola,Grade 8,Maths,M 717,Use graph paper or grid paper to determine the area of shapes defined by specific criteria.,72
Anugola,Grade 8,Maths,M 721,"Analyze data from the column chart, comparing seasonal strengths between summer and winter and other relevant observations based on collected data.",43
Anugola,Grade 8,Maths,M 801,"Conduct an analysis of the basic concepts of permutation, combination, multiplication, and division in relation to the generalization of the methods.",59
Anugola,Grade 8,Maths,M 803,"Using the divisibility rules for 2, 3, 4, 5, 6, 9, and 11, determine the factors, prime factors, cube, and cube roots of the provided numbers.",85
Anugola,Grade 8,Maths,M 811,Solve problems using the measurement formulas of various shapes.,81
