udise,school_name,block,cluster,setting,grade,subject,score_out_of_10
21150100101,JHATAKIPASI PS,Anugola,Jhatakipasi,Rural,Grade 5,EVS,7
21150100101,JHATAKIPASI PS,Anugola,Jhatakipasi,Rural,Grade 5,English,7
21150100101,JHATAKIPASI PS,Anugola,Jhatakipasi,Rural,Grade 5,Maths,8
21150100101,JHATAKIPASI PS,Anugola,Jhatakipasi,Rural,Grade 5,Odia,7
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Rural,Grade 8,English,4
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Rural,Grade 8,Maths,7
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Rural,Grade 8,Odia,5
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Rural,Grade 8,SST,4
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Rural,Grade 8,Science,3
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Rural,Grade 5,EVS,6
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Rural,Grade 5,English,9
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Rural,Grade 5,Maths,7
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Rural,Grade 5,Odia,6
21150100301,Angarabandha P S,Anugola,Jhatakipasi,Rural,Grade 5,EVS,9
21150100301,Angarabandha P S,Anugola,Jhatakipasi,Rural,Grade 5,English,7
21150100301,Angarabandha P S,Anugola,Jhatakipasi,Rural,Grade 5,Maths,8
21150100301,Angarabandha P S,Anugola,Jhatakipasi,Rural,Grade 5,Odia,8
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 5,EVS,7
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 5,English,6
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 5,Maths,6
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 5,Odia,8
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 8,English,4
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 8,Maths,4
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 8,Odia,4
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 8,SST,5
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,Grade 8,Science,4
21150100601,BHALUMUNDA PS,Anugola,Antulia,Rural,Grade 5,EVS,5
21150100601,BHALUMUNDA PS,Anugola,Antulia,Rural,Grade 5,English,3
21150100601,BHALUMUNDA PS,Anugola,Antulia,Rural,Grade 5,Maths,6
21150100601,BHALUMUNDA PS,Anugola,Antulia,Rural,Grade 5,Odia,6
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 5,EVS,8
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 5,English,6
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 5,Maths,9
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 5,Odia,8
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 8,English,4
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 8,Maths,8
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 8,Odia,6
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 8,SST,4
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,Grade 8,Science,5
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 5,EVS,3
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 5,English,3
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 5,Maths,5
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 5,Odia,5
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 8,English,5
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 8,Maths,8
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 8,Odia,6
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 8,SST,4
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,Grade 8,Science,5
21150101001,Rodasingha UP School,Anugola,Antulia,Rural,Grade 5,EVS,7
21150101001,Rodasingha UP School,Anugola,Antulia,Rural,Grade 5,English,7
21150101001,Rodasingha UP School,Anugola,Antulia,Rural,Grade 5,Maths,8
21150101001,Rodasingha UP School,Anugola,Antulia,Rural,Grade 5,Odia,9
21150101101,Laxmanpur PS,Anugola,Antulia,Rural,Grade 5,EVS,4
21150101101,Laxmanpur PS,Anugola,Antulia,Rural,Grade 5,English,8
21150101101,Laxmanpur PS,Anugola,Antulia,Rural,Grade 5,Maths,8
21150101101,Laxmanpur PS,Anugola,Antulia,Rural,Grade 5,Odia,4
21150101201,Kadalibereni primary school,Anugola,Antulia,Rural,Grade 5,EVS,8
21150101201,Kadalibereni primary school,Anugola,Antulia,Rural,Grade 5,English,7
21150101201,Kadalibereni primary school,Anugola,Antulia,Rural,Grade 5,Maths,10
21150101201,Kadalibereni primary school,Anugola,Antulia,Rural,Grade 5,Odia,9
21150101301,Tabada ps,Anugola,Antulia,Rural,Grade 5,EVS,6
21150101301,Tabada ps,Anugola,Antulia,Rural,Grade 5,English,8
21150101301,Tabada ps,Anugola,Antulia,Rural,Grade 5,Maths,8
21150101301,Tabada ps,Anugola,Antulia,Rural,Grade 5,Odia,9
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 5,EVS,7
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 5,English,8
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 5,Maths,4
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 5,Odia,8
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 8,English,6
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 8,Maths,8
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 8,Odia,6
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 8,SST,4
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,Grade 8,Science,6
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Rural,Grade 8,English,4
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Rural,Grade 8,Maths,7
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Rural,Grade 8,Odia,7
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Rural,Grade 8,SST,4
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Rural,Grade 8,Science,4
21150101503,JAMUGADIA PUPS,Anugola,Badakantakul,Rural,Grade 5,EVS,7
21150101503,JAMUGADIA PUPS,Anugola,Badakantakul,Rural,Grade 5,English,6
21150101503,JAMUGADIA PUPS,Anugola,Badakantakul,Rural,Grade 5,Maths,9
21150101503,JAMUGADIA PUPS,Anugola,Badakantakul,Rural,Grade 5,Odia,8
21150101504,SINDIRI SAHI PS,Anugola,Badakantakul,Rural,Grade 5,EVS,7
21150101504,SINDIRI SAHI PS,Anugola,Badakantakul,Rural,Grade 5,English,7
21150101504,SINDIRI SAHI PS,Anugola,Badakantakul,Rural,Grade 5,Maths,8
21150101504,SINDIRI SAHI PS,Anugola,Badakantakul,Rural,Grade 5,Odia,9
21150101602,KANJA PUPS,Anugola,Badakantakul,Rural,Grade 5,EVS,6
21150101602,KANJA PUPS,Anugola,Badakantakul,Rural,Grade 5,English,6
21150101602,KANJA PUPS,Anugola,Badakantakul,Rural,Grade 5,Maths,5
21150101602,KANJA PUPS,Anugola,Badakantakul,Rural,Grade 5,Odia,5
21150101802,NUAKHETA PS,Anugola,Badakantakul,Rural,Grade 5,EVS,9
21150101802,NUAKHETA PS,Anugola,Badakantakul,Rural,Grade 5,English,9
21150101802,NUAKHETA PS,Anugola,Badakantakul,Rural,Grade 5,Maths,9
21150101802,NUAKHETA PS,Anugola,Badakantakul,Rural,Grade 5,Odia,9
21150102201,SARUALI PS,Anugola,Badakantakul,Rural,Grade 5,EVS,8
21150102201,SARUALI PS,Anugola,Badakantakul,Rural,Grade 5,English,6
21150102201,SARUALI PS,Anugola,Badakantakul,Rural,Grade 5,Maths,7
21150102201,SARUALI PS,Anugola,Badakantakul,Rural,Grade 5,Odia,9
21150102401,BADAKERA PS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,5
21150102401,BADAKERA PS,Anugola,BADAKERA UPS,Rural,Grade 5,English,5
21150102401,BADAKERA PS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,7
21150102401,BADAKERA PS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,6
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Rural,Grade 8,English,3
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Rural,Grade 8,Maths,7
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Rural,Grade 8,Odia,5
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Rural,Grade 8,SST,7
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Rural,Grade 8,Science,3
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,3
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 5,English,2
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 5,Maths,6
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 5,Odia,6
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 8,English,4
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 8,Maths,7
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 8,Odia,5
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 8,SST,7
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,Grade 8,Science,3
21150102601,DALABEHERASAHI SS,Anugola,BADAKERA UPS,Rural,Grade 5,EVS,5
21150102601,DALABEHERASAHI SS,Anugola,BADAKERA UPS,Rural,Grade 5,English,6
