udise,school_name,block,cluster,setting,overall_pct,band,score_out_of_10,students_assessed,lat,lon
21150100101,JHATAKIPASI PS,Anugola,Jhatakipasi,Rural,68.9,developing,7,36,20.77769,85.14731
21150100152,"Panchayat High School, Angarbandha",Anugola,Jhatakipasi,Rural,45.4,needs,5,51,20.77789,85.147
21150100201,Khandahata primary school,Anugola,Jhatakipasi,Rural,68.7,developing,7,17,20.76967,85.13619
21150100301,Angarabandha P S,Anugola,Jhatakipasi,Rural,78.3,excelling,8,11,20.79019,85.13876
21150100402,Govt UGHS Antulia,Anugola,Antulia,Rural,50.7,developing,5,46,20.80124,84.80384
21150100601,BHALUMUNDA PS,Anugola,Antulia,Rural,52.2,developing,5,6,20.79309,84.78032
21150100701,Janata Nodal Upper Primary School Dandasingha,Anugola,Antulia,Rural,55.5,developing,6,38,20.78853,84.80547
21150100802,Govt U. P. S. Ganjada,Anugola,Antulia,Rural,49.2,needs,5,29,20.78203,84.77342
21150101001,Rodasingha UP School,Anugola,Antulia,Rural,75.2,excelling,8,8,20.77075,84.7615
21150101101,Laxmanpur PS,Anugola,Antulia,Rural,50.6,developing,5,20,20.79072,84.79336
21150101201,Kadalibereni primary school,Anugola,Antulia,Rural,87.2,excelling,9,9,20.84483,84.80239
21150101301,Tabada ps,Anugola,Antulia,Rural,77.4,excelling,8,11,20.79856,84.82419
21150101401,BADAKANTAKUL NUPS,Anugola,Badakantakul,Rural,62.4,developing,6,23,20.65947,85.08622
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Rural,50.1,developing,5,40,21.12194,85.15
21150101503,JAMUGADIA PUPS,Anugola,Badakantakul,Rural,74.0,developing,7,14,20.67494,85.09196
21150101504,SINDIRI SAHI PS,Anugola,Badakantakul,Rural,77.1,excelling,8,4,20.667,85.09656
21150101602,KANJA PUPS,Anugola,Badakantakul,Rural,54.5,developing,5,15,20.64861,85.11344
21150101802,NUAKHETA PS,Anugola,Badakantakul,Rural,90.9,excelling,9,16,20.65489,85.06831
21150102201,SARUALI PS,Anugola,Badakantakul,Rural,75.5,excelling,8,10,20.75347,84.98387
21150102401,BADAKERA PS,Anugola,BADAKERA UPS,Rural,56.2,developing,6,20,20.80486,85.01108
21150102403,"PM SHRI SHREE JAGANNATH GOVT. HIGH SCHOOL,BADAKERA",Anugola,BADAKERA UPS,Rural,49.8,needs,5,42,20.80725,85.00936
21150102502,CHAMPATIMUNDA PROJECT UPS,Anugola,BADAKERA UPS,Rural,48.7,needs,5,50,20.78245,85.01663
21150102601,DALABEHERASAHI SS,Anugola,BADAKERA UPS,Rural,57.4,developing,6,23,20.7925,85.00493
21150102701,GURANG SS,Anugola,BADAKERA UPS,Rural,92.4,excelling,9,9,20.7655,85.00728
21150102901,RAGUDIAPADA PS,Anugola,BADAKERA UPS,Rural,77.1,excelling,8,4,20.79269,85.01372
21150103101,TUMUNI PROJECT PS,Anugola,BADAKERA UPS,Rural,67.4,developing,7,17,20.79683,85.0155
21150103102,TUMUNI PS,Anugola,BADAKERA UPS,Rural,85.0,excelling,9,6,20.79334,85.0193
21150103201,GOVT. UGHS BALANGA,Anugola,Jagannathpur,Rural,49.6,needs,5,52,20.66831,84.98903
