udise,school_name,block,cluster,grade,student_pseudo_id,subject,pct_correct
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Grade 8,65,English,60.0
21150508451,PANCHAYAT HIGH SCHOOL BURUKUNA,Kaniha,Saradhapur,Grade 8,2,Odia,70.0
21150618551,"Maa Hingulai High School,Luhamunda",Kishore Nagar,KISHOREGANJ,Grade 8,49,Maths,45.0
21150602902,GOVT UPS JAMUNALI,Kishore Nagar,GOVT UPS DHAURAPALI,Grade 5,5,Odia,80.0
21150111202,Bentapur Nodal UP school,Anugola,Jhatakipasi,Grade 5,9,Maths,80.0
21150305803,GOVT NHS GOTAMARA,Banarpal,GOTAMARA,Grade 8,29,English,15.0
21150120001,APARTI PROJECT PS,Anugola,BADAKERA UPS,Grade 5,25,Odia,73.3
21150707801,GOVT UPS RAGHUNATHPUR,Palalahada,GOVT PS INJIDI,Grade 8,11,Odia,80.0
21150309801,SERENABEDA P.U.P.S.,Banarpal,MAHIDHARPUR HS,Grade 5,1,Maths,80.0
21150207001,Govt U.P.S Dudum,Athamalik,KANDHAPADA NUPS,Grade 8,23,English,0.0
21150111901,KHINDA UPS,Anugola,GADATARAS,Grade 8,11,Science,20.0
21150409602,"Govt. Upper Primary School, Korada",Chhendipada,korada ups,Grade 5,7,Maths,86.7
21150400901,"Govt. Primary School, Languli",Chhendipada,Govt UGHS Bahalasahi,Grade 5,9,EVS,26.7
21150606852,"SWAPNESWAR JEW UCHA BIDYAPITHA,Badahulla",Kishore Nagar,KISHOREGANJ,Grade 8,15,SST,85.0
21150101501,BADAKANTAKUL GP HS,Anugola,Badakantakul,Grade 8,14,English,55.0
21150615601,GOVT UPS BAISINA,Kishore Nagar,Handapa PS,Grade 5,12,Odia,100.0
21150703701,"BANDHABHUIN GOVT GIRLS HIGH SCHOOL,JAMARDIHA",Palalahada,Jagannath Govt HS Itee,Grade 5,3,Odia,86.7
21150606901,"GOVT PS, BOINDA",Kishore Nagar,JGHS BILEINALI,Grade 5,13,Maths,66.7
21150307201,"Govt.u.p.s,Karadagadia",Banarpal,Kumanda Jarasingha Cluster,Grade 8,13,Science,40.0
21150414201,Binapani HS,Chhendipada,Kanaloi ups,Grade 8,28,Science,60.0
21150706302,Govt.Upper Primary School Jhimiripali,Palalahada,Town Girls' UPS,Grade 8,24,Odia,55.0
21150515201,Govt PS Gandaberena,Kaniha,GOVT UPS JARADA,Grade 5,4,English,73.3
21150308101,TENTOLOI ASHRAM SCHOOL,Banarpal,HARIHAR GOVT. HS KUKUDANG,Grade 8,10,Odia,65.0
21150405901,"Govt. Upper Primary School, Tangirisahi",Chhendipada,DURGAPUR NUPS,Grade 5,15,EVS,46.7
21150402802,"Govt. Upper Primary School, Khamar",Chhendipada,KHAMAR NUPS,Grade 8,6,English,35.0
21150806101,Scotlandpur PS,Talachera,Biharipur PUPS,Grade 5,4,EVS,6.7
21150520204,"Govt.PS,Rengali",Kaniha,HATIADANDA,Grade 5,24,English,66.7
21150618603,"R.D. Govt. High School, Kishoreganj",Kishore Nagar,KISHOREGANJ,Grade 8,17,Science,45.0
21150230001,BARADHIP PS,Athamalik,TAPADHOL,Grade 5,14,EVS,46.7
21150400302,"Govt. High School, Bahalasahi",Chhendipada,Govt UGHS Bahalasahi,Grade 8,35,Maths,25.0
21150119801,PANCHAMAHALA PROJECT UPS,Anugola,BADAKERA UPS,Grade 5,1,English,13.3
21150113901,PNHS KUMURISINGHA,Anugola,PNHS Kumurisingha,Grade 8,13,English,55.0
21150300907,AMANTAPUR P UPS,Banarpal,BALARAMPMRASAD HS,Grade 8,10,Odia,80.0
21150714901,GOVT UPS PRIYAMBADAPUR,Palalahada,GOVT PS INJIDI,Grade 8,5,SST,55.0
21150710601,Govt ups Gurundiamunda,Palalahada,Sahargurujanga,Grade 8,5,Odia,45.0
21150305801,GOVT UPS BISWANATHPUR,Banarpal,GOTAMARA,Grade 8,28,Science,35.0
21150105703,Bantala primary school,Anugola,BANTALA,Grade 5,14,Odia,73.3
21151000601,TOWN URDU PS,Athamalik,MAHENDRA HIGH SCHOOL ATHAMALLIK,Grade 5,5,Odia,66.7
21150303901,GOVT UPS PANDARBHARANIA,Banarpal,GOTAMARA,Grade 8,15,Science,70.0
21150715251,BAPUJEE ASHRAM HIGH SCHOOL SIARIMALIA,Palalahada,Govt ups kunjam,Grade 8,30,Science,75.0
21150111203,GODISAHI PUPS,Anugola,KHAMAR PS CLUSTER,Grade 5,10,EVS,60.0
21150107901,NUAGAON NEW UPS,Anugola,KHAMAR PS CLUSTER,Grade 5,10,Odia,40.0
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Grade 8,47,SST,0.0
21150523851,SADANANDA HS TALAPADA,Kaniha,GOVT PS POIPAL,Grade 8,32,English,75.0
21150723001,"Govt. ups, magarmuhan",Palalahada,Chungamatia,Grade 5,5,Maths,53.3
21150515601,GOVT UPS NAKANAKA,Kaniha,GOVT UPS JARADA,Grade 5,11,English,60.0
21151001201,PM SHRI MAHENDRA HS ATHMALLIK,Athamalik,MAHENDRA HIGH SCHOOL ATHAMALLIK,Grade 8,13,SST,30.0
21150307601,HH GOVT. HS KUKUDANG,Banarpal,HARIHAR GOVT. HS KUKUDANG,Grade 8,3,SST,5.0
21150111301,ANKULA PS,Anugola,KHAMAR PS CLUSTER,Grade 5,3,Maths,46.7
21150419002,TUKUDA HIGH SCHOOL,Chhendipada,OGI UGHS,Grade 8,17,Science,55.0
21150306204,"Govt u.p.s, Similisahi",Banarpal,Kumanda Jarasingha Cluster,Grade 8,25,SST,55.0
21150723701,GOVT PS JAMUDIHI,Palalahada,Saida,Grade 5,3,English,60.0
21151001201,PM SHRI MAHENDRA HS ATHMALLIK,Athamalik,MAHENDRA HIGH SCHOOL ATHAMALLIK,Grade 8,29,SST,50.0
21150111501,KHALARI HS,Anugola,KHAMAR PS CLUSTER,Grade 8,33,SST,35.0
21150202401,Mahidharpur ps,Athamalik,Ambasarmunda,Grade 5,6,EVS,60.0
21150704402,GOVT UPS BATISUAN,Palalahada,BATISUAN,Grade 8,19,Odia,75.0
21150810001,DIGHI PS,Talachera,Sri Jagannath NHS,Grade 5,1,EVS,86.7
21150815301,Bharati HS,Talachera,Biharipur PUPS,Grade 8,7,English,30.0
21150414901,"Govt. Primary School, Bhubanpur",Chhendipada,Govt UPS PARANGA,Grade 5,16,English,86.7
21150120001,APARTI PROJECT PS,Anugola,BADAKERA UPS,Grade 5,5,Odia,60.0
21150522601,PANCHAYAT H.S SANATRIBIDA,Kaniha,Govt High school Badatribida,Grade 8,16,SST,45.0
21150408403,"Govt. Upper Primary School, Kankarai",Chhendipada,Kankarei UPS,Grade 8,25,Odia,70.0
21150618603,"R.D. Govt. High School, Kishoreganj",Kishore Nagar,KISHOREGANJ,Grade 8,31,English,40.0
21150514101,GOVT UPS BALIPATTA,Kaniha,DERANG,Grade 8,5,SST,60.0
21150212101,BANAMALIPUR PUPS,Athamalik,"SASTRIJEE UPS, KRUTIBASPUR",Grade 8,17,Odia,40.0
21150606901,"GOVT PS, BOINDA",Kishore Nagar,JGHS BILEINALI,Grade 5,1,English,66.7
21150607702,GOVT PS BANINALI,Kishore Nagar,Handapa PS,Grade 5,1,EVS,66.7
21150201603,Ambasarmunda ups,Athamalik,Ambasarmunda,Grade 8,33,Science,50.0
21150807801,KUSUMPAL PUPS,Talachera,Kalamachhuin UPS,Grade 5,5,Odia,86.7
21150118103,Pokatunga PS,Anugola,Pokatunga,Grade 5,33,English,93.3
21150718201,Mahatab HS,Palalahada,Town Girls' UPS,Grade 8,14,SST,65.0
21150610301,Jairat High School,Kishore Nagar,Govt UPS Jairat,Grade 8,27,Maths,50.0
21150110801,TARAVA PS,Anugola,Jagannathpur,Grade 5,11,Maths,53.3
21150516501,Govt. PS Kaniha,Kaniha,Govt PS kaniha,Grade 5,17,Maths,100.0
21150702401,"GOVT UPS HATIGHINCHA, BALIPASI",Palalahada,GOVT.UGHS SEEGARH,Grade 8,2,SST,60.0
21150402002,"Govt. High School, Barapada",Chhendipada,korada ups,Grade 8,27,Maths,80.0
21150901701,PTC NODAL HIGH SCHOOL,Anugola,Amalapada ps,Grade 5,51,EVS,46.7
21150604403,"JAGANNATH GOVT HIGH SCHOOL, BILEINALI",Kishore Nagar,JGHS BILEINALI,Grade 8,48,Odia,40.0
21150217301,Govt. UPS Manapur,Athamalik,GOVT. NUPS MADHAPUR,Grade 8,6,English,70.0
21150417301,Raijharan HS,Chhendipada,Kankarei UPS,Grade 8,33,Odia,60.0
21150708801,Malyagiri Govt High School,Palalahada,HK Mahatab ups Iswaranagar,Grade 8,50,Science,70.0
21150401203,"Govt. High School, Balipata",Chhendipada,Balipatta,Grade 5,22,Odia,60.0
21150517901,GOVT PS KENDUDHIPASAHI,Kaniha,GOVT UPS ARKIL,Grade 5,4,EVS,26.7
21150608203,"MAHANADI GOVT HIGH SCHOOL, HANDAPA",Kishore Nagar,Handapa PS,Grade 8,20,Science,45.0
21150223903,RADHAMADHAB GOVT. HS,Athamalik,RADHAMADHAB GOVT. HIGH SCHOOL PAIKSAHI,Grade 8,89,English,85.0
21150503001,GOVT UPS KHALPAL,Kaniha,Bajrakote Nodal UPS,Grade 8,5,English,75.0
21150104001,Balisahi NUPS,Anugola,PNHS Kumurisingha,Grade 8,2,Odia,25.0
21150500401,GOVT UPS KARADAKHMAN,Kaniha,GOVT UPS ARKIL,Grade 8,2,Maths,90.0
21150902201,ANUL GOVT HIGH SCHOOL,Anugola,Amalapada ps,Grade 8,39,English,30.0
21150722701,"Govt. ups, hansala",Palalahada,Chungamatia,Grade 5,1,English,100.0
21150717201,GOVT UPS KANTANALI,Palalahada,KANTALA,Grade 5,1,Odia,80.0
21150412101,"Govt. High School, Podapada",Chhendipada,Chhendipada HS,Grade 8,35,English,55.0
21150621901,GOVT.UPS BRAHMANIDEI,Kishore Nagar,Govt UPS Sanjamura,Grade 5,1,EVS,73.3
21150207001,Govt U.P.S Dudum,Athamalik,KANDHAPADA NUPS,Grade 8,2,Science,40.0
21150520101,"Govt.UPS,Hatiadanda",Kaniha,HATIADANDA,Grade 8,16,Odia,40.0
21150120201,GOVT U.G.H.S SANKHAPUR,Anugola,BANTALA,Grade 8,9,Science,30.0
21150510501,"GOVT. HIGH SCHOOL, KANTAPAL",Kaniha,GOVT PS POIPAL,Grade 8,16,Science,85.0
21150519801,GOVT.UPS PABITRANAGAR,Kaniha,Govt UPS Pabitranagar,Grade 5,11,EVS,53.3
21150105351,"Nilakantheswar High school, Sabalbhanga",Anugola,PNHS Kumurisingha,Grade 8,69,English,70.0
21150516502,"PM SHRI PABITRA MOHAN GOVT. HIGHER SECONDARY SCHOOL, KANIHA",Kaniha,Govt PS kaniha,Grade 8,37,SST,35.0
21150604403,"JAGANNATH GOVT HIGH SCHOOL, BILEINALI",Kishore Nagar,JGHS BILEINALI,Grade 8,3,English,85.0
21150806701,Gobara NHS,Talachera,Gobara NHS,Grade 5,11,English,86.7
